ISO,Year,Item,FPi
AFG,2016,"Fruit, tropical fresh nes",0.0
AFG,2016,Garlic,0.0
AFG,2016,Ginger,0.0
AFG,2016,Grapefruit (inc. pomelos),0.0
AFG,2016,Grapes,874.541
AFG,2016,"Groundnuts, with shell",0.0
AFG,2016,"Hazelnuts, with shell",0.0
AFG,2016,Hempseed,0.0
AFG,2016,"Honey, natural",1.582
AFG,2016,Kiwi fruit,0.0
AFG,2016,"Leeks, other alliaceous vegetables",0.0
AFG,2016,Lemons and limes,0.0
AFG,2016,Lentils,0.0
AFG,2016,Lettuce and chicory,0.0
AFG,2016,Linseed,0.219
AFG,2016,Maize,311.646
AFG,2016,"Maize, green",0.0
AFG,2016,"Mangoes, mangosteens, guavas",0.0
AFG,2016,Maté,0.0
AFG,2016,Meat nes,0.0
AFG,2016,"Meat, buffalo",0.0
AFG,2016,"Meat, camel",3.524
AFG,2016,"Meat, cattle",134.747
AFG,2016,"Meat, chicken",24.609
AFG,2016,"Meat, duck",0.0
AFG,2016,"Meat, game",8.0
AFG,2016,"Meat, goat",46.004
AFG,2016,"Meat, goose and guinea fowl",0.0
AFG,2016,"Meat, pig",0.0
AFG,2016,"Meat, sheep",106.786
AFG,2016,"Meat, turkey",0.0
AFG,2016,"Melons, other (inc.cantaloupes)",506.266
AFG,2016,Melonseed,0.0
AFG,2016,"Milk, whole fresh camel",6.803
AFG,2016,"Milk, whole fresh cow",1860.9080000000001
AFG,2016,"Milk, whole fresh goat",112.979
AFG,2016,"Milk, whole fresh sheep",200.399
AFG,2016,Millet,12.138
AFG,2016,Mushrooms and truffles,0.0
AFG,2016,Mustard seed,0.0
AFG,2016,"Nutmeg, mace and cardamoms",0.0
AFG,2016,Nuts nes,1.365
AFG,2016,Oats,0.0
AFG,2016,Offals nes,0.0
AFG,2016,"Offals, edible, camels",0.529
AFG,2016,"Offals, edible, cattle",23.644000000000002
AFG,2016,"Offals, edible, goats",8.919
AFG,2016,"Offals, liver chicken",0.0
AFG,2016,"Offals, liver geese",0.0
AFG,2016,"Offals, liver turkeys",0.0
AFG,2016,"Offals, sheep,edible",21.802
AFG,2016,Oilseeds nes,0.0
AFG,2016,Olives,7.657
AFG,2016,"Onions, dry",141.649
AFG,2016,Oranges,4.055
AFG,2016,Papayas,0.002
AFG,2016,Peaches and nectarines,15.306000000000001
AFG,2016,Pears,5.226
AFG,2016,"Peas, dry",0.0
AFG,2016,"Peas, green",0.0
AFG,2016,Pepper (piper spp.),0.0
AFG,2016,Persimmons,0.0
AFG,2016,Pigeon peas,0.0
AFG,2016,Pineapples,0.0
AFG,2016,Pistachios,2.718
AFG,2016,Plantains and others,0.0
AFG,2016,Plums and sloes,18.504
AFG,2016,Poppy seed,0.0
AFG,2016,Potatoes,427.91700000000003
AFG,2016,Pulses nes,80.917
AFG,2016,"Pumpkins, squash and gourds",0.0
AFG,2016,Quinces,0.0
AFG,2016,Quinoa,0.0
AFG,2016,Rapeseed,0.0
AFG,2016,Raspberries,0.001
AFG,2016,"Rice, paddy",356.565
AFG,2016,Roots and tubers nes,0.0
AFG,2016,Rye,0.0
AFG,2016,Safflower seed,0.0
AFG,2016,Sesame seed,32.0
AFG,2016,Sorghum,0.0
AFG,2016,Soybeans,0.0
AFG,2016,Spices nes,0.006
AFG,2016,Spinach,0.0
AFG,2016,Strawberries,0.273
AFG,2016,Sugar beet,1.582
AFG,2016,Sugar cane,17.364
