ISO,Year,TLA
BEL,2008,3028.0
BEL,2009,3028.0
BEL,2010,3028.0
BEL,2011,3028.0
BEL,2012,3028.0
BEL,2013,3028.0
BEL,2014,3028.0
BEL,2015,3028.0
BEL,2016,3028.0
BEL,2017,3028.0
BEL,2018,3028.0
BEN,1961,11276.0
BEN,1962,11276.0
BEN,1963,11276.0
BEN,1964,11276.0
BEN,1965,11276.0
BEN,1966,11276.0
BEN,1967,11276.0
BEN,1968,11276.0
BEN,1969,11276.0
BEN,1970,11276.0
BEN,1971,11276.0
BEN,1972,11276.0
BEN,1973,11276.0
BEN,1974,11276.0
BEN,1975,11276.0
BEN,1976,11276.0
BEN,1977,11276.0
BEN,1978,11276.0
BEN,1979,11276.0
BEN,1980,11276.0
BEN,1981,11276.0
BEN,1982,11276.0
BEN,1983,11276.0
BEN,1984,11276.0
BEN,1985,11276.0
BEN,1986,11276.0
BEN,1987,11276.0
BEN,1988,11276.0
BEN,1989,11276.0
BEN,1990,11276.0
BEN,1991,11276.0
BEN,1992,11276.0
BEN,1993,11276.0
BEN,1994,11276.0
BEN,1995,11276.0
BEN,1996,11276.0
BEN,1997,11276.0
BEN,1998,11276.0
BEN,1999,11276.0
BEN,2000,11276.0
BEN,2001,11276.0
BEN,2002,11276.0
BEN,2003,11276.0
BEN,2004,11276.0
BEN,2005,11276.0
BEN,2006,11276.0
BEN,2007,11276.0
BEN,2008,11276.0
BEN,2009,11276.0
BEN,2010,11276.0
BEN,2011,11276.0
BEN,2012,11276.0
BEN,2013,11276.0
BEN,2014,11276.0
BEN,2015,11276.0
BEN,2016,11276.0
BEN,2017,11276.0
BEN,2018,11276.0
BES,2011,32.2
BES,2012,32.2
BES,2013,32.2
BES,2014,32.2
BES,2015,32.2
BES,2016,32.2
BES,2017,32.2
BES,2018,32.2
BFA,1961,27360.0
BFA,1962,27360.0
BFA,1963,27360.0
BFA,1964,27360.0
BFA,1965,27360.0
BFA,1966,27360.0
BFA,1967,27360.0
BFA,1968,27360.0
BFA,1969,27360.0
BFA,1970,27360.0
BFA,1971,27360.0
BFA,1972,27360.0
BFA,1973,27360.0
BFA,1974,27360.0
BFA,1975,27360.0
BFA,1976,27360.0
BFA,1977,27360.0
BFA,1978,27360.0
BFA,1979,27360.0
BFA,1980,27360.0
BFA,1981,27360.0
BFA,1982,27360.0
BFA,1983,27360.0
BFA,1984,27360.0
BFA,1985,27360.0
BFA,1986,27360.0
BFA,1987,27360.0
BFA,1988,27360.0
BFA,1989,27360.0
BFA,1990,27360.0
BFA,1991,27360.0
BFA,1992,27360.0
BFA,1993,27360.0
BFA,1994,27360.0
BFA,1995,27360.0
BFA,1996,27360.0
BFA,1997,27360.0
BFA,1998,27360.0
BFA,1999,27360.0
BFA,2000,27360.0
BFA,2001,27360.0
BFA,2002,27360.0
BFA,2003,27360.0
BFA,2004,27360.0
BFA,2005,27360.0
BFA,2006,27360.0
BFA,2007,27360.0
BFA,2008,27360.0
BFA,2009,27360.0
BFA,2010,27360.0
BFA,2011,27360.0
BFA,2012,27360.0
BFA,2013,27360.0
BFA,2014,27360.0
BFA,2015,27360.0
BFA,2016,27360.0
BFA,2017,27360.0
BFA,2018,27360.0
BGD,1961,13017.0
BGD,1962,13017.0
BGD,1963,13017.0
BGD,1964,13017.0
BGD,1965,13017.0
BGD,1966,13017.0
BGD,1967,13017.0
BGD,1968,13017.0
BGD,1969,13017.0
BGD,1970,13017.0
BGD,1971,13017.0
BGD,1972,13017.0
BGD,1973,13017.0
BGD,1974,13017.0
BGD,1975,13017.0
BGD,1976,13017.0
BGD,1977,13017.0
BGD,1978,13017.0
BGD,1979,13017.0
BGD,1980,13017.0
BGD,1981,13017.0
BGD,1982,13017.0
BGD,1983,13017.0
BGD,1984,13017.0
BGD,1985,13017.0
BGD,1986,13017.0
BGD,1987,13017.0
BGD,1988,13017.0
BGD,1989,13017.0
BGD,1990,13017.0
BGD,1991,13017.0
BGD,1992,13017.0
BGD,1993,13017.0
BGD,1994,13017.0
BGD,1995,13017.0
BGD,1996,13017.0
BGD,1997,13017.0
BGD,1998,13017.0
BGD,1999,13017.0
BGD,2000,13017.0
BGD,2001,13017.0
BGD,2002,13017.0
BGD,2003,13017.0
BGD,2004,13017.0
BGD,2005,13017.0
BGD,2006,13017.0
BGD,2007,13017.0
BGD,2008,13017.0
BGD,2009,13017.0
BGD,2010,13017.0
BGD,2011,13017.0
BGD,2012,13017.0
BGD,2013,13017.0
BGD,2014,13017.0
BGD,2015,13017.0
BGD,2016,13017.0
BGD,2017,13017.0
BGD,2018,13017.0
BGR,1961,11063.0
BGR,1962,11063.0
BGR,1963,11063.0
