ISO,Year,Pop
LKA,2017,21128.0
LKA,2018,21229.0
LSO,2014,2043.0
LSO,2015,2059.0
LSO,2016,2075.0
LSO,2017,2092.0
LSO,2018,2108.0
LTU,2014,2971.0
LTU,2015,2932.0
LTU,2016,2890.0
LTU,2017,2845.0
LTU,2018,2801.0
LUX,2014,555.0
LUX,2015,567.0
LUX,2016,579.0
LUX,2017,592.0
LUX,2018,604.0
LVA,2014,2021.0
LVA,2015,1998.0
LVA,2016,1974.0
LVA,2017,1951.0
LVA,2018,1928.0
MAC,2014,590.0
MAC,2015,602.0
MAC,2016,613.0
MAC,2017,623.0
MAC,2018,632.0
MAR,2014,34192.0
MAR,2015,34664.0
MAR,2016,35126.0
MAR,2017,35581.0
MAR,2018,36029.0
MDA,2014,4073.0
MDA,2015,4071.0
MDA,2016,4066.0
MDA,2017,4060.0
MDA,2018,4052.0
MDG,2014,23590.0
MDG,2015,24234.0
MDG,2016,24894.0
MDG,2017,25571.0
MDG,2018,26262.0
MDV,2014,435.0
MDV,2015,455.0
MDV,2016,476.0
MDV,2017,496.0
MDV,2018,516.0
MEX,2014,120355.0
MEX,2015,121858.0
MEX,2016,123333.0
MEX,2017,124777.0
MEX,2018,126191.0
MKD,2014,2078.0
MKD,2015,2079.0
MKD,2016,2081.0
MKD,2017,2082.0
MKD,2018,2083.0
MLI,2014,16934.0
MLI,2015,17439.0
MLI,2016,17965.0
MLI,2017,18512.0
MLI,2018,19078.0
MLT,2014,430.0
MLT,2015,434.0
MLT,2016,436.0
MLT,2017,438.0
MLT,2018,439.0
MMR,2014,52281.0
MMR,2015,52681.0
MMR,2016,53045.0
MMR,2017,53383.0
MMR,2018,53708.0
MNE,2014,627.0
MNE,2015,627.0
MNE,2016,627.0
MNE,2017,628.0
MNE,2018,628.0
MNG,2014,2940.0
MNG,2015,2998.0
MNG,2016,3056.0
MNG,2017,3114.0
MNG,2018,3170.0
MOZ,2014,26286.0
MOZ,2015,27042.0
MOZ,2016,27830.0
MOZ,2017,28649.0
MOZ,2018,29496.0
MRT,2014,3931.0
MRT,2015,4046.0
MRT,2016,4164.0
MRT,2017,4283.0
MRT,2018,4403.0
MUS,2014,1257.0
MUS,2015,1259.0
MUS,2016,1262.0
MUS,2017,1264.0
MUS,2018,1267.0
MWI,2014,16290.0
MWI,2015,16745.0
MWI,2016,17205.0
MWI,2017,17670.0
MWI,2018,18143.0
MYS,2014,29867.0
MYS,2015,30271.0
MYS,2016,30685.0
MYS,2017,31105.0
MYS,2018,31528.0
NAM,2014,2273.0
NAM,2015,2315.0
NAM,2016,2358.0
NAM,2017,2403.0
NAM,2018,2448.0
NCL,2014,268.0
NCL,2015,271.0
NCL,2016,274.0
NCL,2017,277.0
NCL,2018,280.0
NER,2014,19240.0
NER,2015,20002.0
NER,2016,20789.0
NER,2017,21602.0
NER,2018,22443.0
NGA,2014,176405.0
NGA,2015,181137.0
NGA,2016,185960.0
NGA,2017,190873.0
NGA,2018,195875.0
NIC,2014,6143.0
NIC,2015,6223.0
NIC,2016,6304.0
NIC,2017,6385.0
NIC,2018,6466.0
NLD,2014,16893.0
NLD,2015,16938.0
NLD,2016,16981.0
NLD,2017,17021.0
NLD,2018,17060.0
NOR,2014,5142.0
NOR,2015,5200.0
NOR,2016,5251.0
NOR,2017,5296.0
NOR,2018,5338.0
NPL,2014,26906.0
NPL,2015,27015.0
NPL,2016,27263.0
NPL,2017,27633.0
NPL,2018,28096.0
NZL,2014,4568.0
NZL,2015,4615.0
NZL,2016,4659.0
NZL,2017,4702.0
NZL,2018,4743.0
OMN,2014,4027.0
OMN,2015,4267.0
OMN,2016,4479.0
OMN,2017,4666.0
OMN,2018,4829.0
PAK,2014,195305.0
PAK,2015,199427.0
PAK,2016,203631.0
