ISO,Year,FL
AZE,2007,1018.9122
AZE,2008,1023.4397
AZE,2009,1027.9671
AZE,2010,1032.4946
AZE,2011,1041.5731
AZE,2012,1050.6515
AZE,2013,1059.73
AZE,2014,1068.8085
AZE,2015,1077.887
AZE,2016,1087.4752
AZE,2017,1097.1848
AZE,2018,1108.715
BDI,1961,0.0
BDI,1962,0.0
BDI,1963,0.0
BDI,1964,0.0
BDI,1965,0.0
BDI,1966,0.0
BDI,1967,0.0
BDI,1968,0.0
BDI,1969,0.0
BDI,1970,0.0
BDI,1971,0.0
BDI,1972,0.0
BDI,1973,0.0
BDI,1974,0.0
BDI,1975,0.0
BDI,1976,0.0
BDI,1977,0.0
BDI,1978,0.0
BDI,1979,0.0
BDI,1980,0.0
BDI,1981,0.0
BDI,1982,0.0
BDI,1983,0.0
BDI,1984,0.0
BDI,1985,0.0
BDI,1986,0.0
BDI,1987,0.0
BDI,1988,0.0
BDI,1989,0.0
BDI,1990,276.48
BDI,1991,268.226
BDI,1992,259.972
BDI,1993,251.718
BDI,1994,243.464
BDI,1995,235.21
BDI,1996,226.956
BDI,1997,218.702
BDI,1998,210.448
BDI,1999,202.194
BDI,2000,193.94
BDI,2001,193.94
BDI,2002,193.94
BDI,2003,193.94
BDI,2004,193.94
BDI,2005,193.94
BDI,2006,193.94
BDI,2007,193.94
BDI,2008,193.94
BDI,2009,193.94
BDI,2010,193.94
BDI,2011,211.08
BDI,2012,228.22
BDI,2013,245.36
BDI,2014,262.5
BDI,2015,279.64
BDI,2016,279.64
BDI,2017,279.64
BDI,2018,279.64
BEL,2000,667.3
BEL,2001,669.557
BEL,2002,671.814
BEL,2003,674.071
BEL,2004,676.328
BEL,2005,678.585
BEL,2006,680.842
BEL,2007,683.099
BEL,2008,685.356
BEL,2009,687.613
BEL,2010,689.87
BEL,2011,689.756
BEL,2012,689.642
BEL,2013,689.528
BEL,2014,689.414
BEL,2015,689.3
BEL,2016,689.3
BEL,2017,689.3
BEL,2018,689.3
BEN,1961,0.0
BEN,1962,0.0
BEN,1963,0.0
BEN,1964,0.0
BEN,1965,0.0
BEN,1966,0.0
BEN,1967,0.0
BEN,1968,0.0
BEN,1969,0.0
BEN,1970,0.0
BEN,1971,0.0
BEN,1972,0.0
BEN,1973,0.0
BEN,1974,0.0
BEN,1975,0.0
BEN,1976,0.0
BEN,1977,0.0
BEN,1978,0.0
BEN,1979,0.0
BEN,1980,0.0
BEN,1981,0.0
BEN,1982,0.0
BEN,1983,0.0
BEN,1984,0.0
BEN,1985,0.0
BEN,1986,0.0
BEN,1987,0.0
BEN,1988,0.0
BEN,1989,0.0
BEN,1990,4835.15
BEN,1991,4765.15
BEN,1992,4695.15
BEN,1993,4625.15
BEN,1994,4555.15
BEN,1995,4485.15
BEN,1996,4415.15
BEN,1997,4345.15
BEN,1998,4275.15
BEN,1999,4205.15
BEN,2000,4135.15
BEN,2001,4085.15
BEN,2002,4035.15
BEN,2003,3985.15
BEN,2004,3935.15
BEN,2005,3885.15
BEN,2006,3835.15
BEN,2007,3785.15
BEN,2008,3735.15
BEN,2009,3685.15
BEN,2010,3635.15
BEN,2011,3585.15
BEN,2012,3535.15
BEN,2013,3485.15
BEN,2014,3435.15
BEN,2015,3385.15
BEN,2016,3335.15
BEN,2017,3285.15
BEN,2018,3235.15
BES,2011,1.91
BES,2012,1.91
BES,2013,1.91
BES,2014,1.91
BES,2015,1.91
BES,2016,1.91
BES,2017,1.91
BES,2018,1.91
BFA,1961,0.0
BFA,1962,0.0
BFA,1963,0.0
BFA,1964,0.0
BFA,1965,0.0
BFA,1966,0.0
BFA,1967,0.0
BFA,1968,0.0
BFA,1969,0.0
BFA,1970,0.0
BFA,1971,0.0
BFA,1972,0.0
BFA,1973,0.0
BFA,1974,0.0
BFA,1975,0.0
BFA,1976,0.0
BFA,1977,0.0
BFA,1978,0.0
BFA,1979,0.0
BFA,1980,0.0
BFA,1981,0.0
BFA,1982,0.0
BFA,1983,0.0
BFA,1984,0.0
BFA,1985,0.0
BFA,1986,0.0
BFA,1987,0.0
BFA,1988,0.0
BFA,1989,0.0
BFA,1990,7716.6
BFA,1991,7666.59
BFA,1992,7616.58
BFA,1993,7566.57
BFA,1994,7516.56
BFA,1995,7466.55
BFA,1996,7416.54
BFA,1997,7366.53
BFA,1998,7316.52
BFA,1999,7266.51
BFA,2000,7216.5
BFA,2001,7166.5
BFA,2002,7116.5
BFA,2003,7066.5
BFA,2004,7016.5
BFA,2005,6966.5
BFA,2006,6916.5
BFA,2007,6866.5
BFA,2008,6816.5
BFA,2009,6766.5
BFA,2010,6716.5
BFA,2011,6666.48
BFA,2012,6616.46
BFA,2013,6566.44
BFA,2014,6516.42
BFA,2015,6466.4
BFA,2016,6416.4
BFA,2017,6366.4
BFA,2018,6316.4
BGD,1961,0.0
BGD,1962,0.0
BGD,1963,0.0
BGD,1964,0.0
BGD,1965,0.0
BGD,1966,0.0
BGD,1967,0.0
BGD,1968,0.0
BGD,1969,0.0
BGD,1970,0.0
BGD,1971,0.0
BGD,1972,0.0
BGD,1973,0.0
BGD,1974,0.0
BGD,1975,0.0
BGD,1976,0.0
BGD,1977,0.0
BGD,1978,0.0
BGD,1979,0.0
BGD,1980,0.0
BGD,1981,0.0
BGD,1982,0.0
BGD,1983,0.0
BGD,1984,0.0
BGD,1985,0.0
BGD,1986,0.0
BGD,1987,0.0
BGD,1988,0.0
BGD,1989,0.0
BGD,1990,1920.33
BGD,1991,1920.3298
BGD,1992,1920.3296
BGD,1993,1920.3294
BGD,1994,1920.3292
BGD,1995,1920.329
BGD,1996,1920.3289
BGD,1997,1920.3287
BGD,1998,1920.3285
BGD,1999,1920.3283
BGD,2000,1920.3281
BGD,2001,1917.1295
BGD,2002,1913.9309
BGD,2003,1910.7323
BGD,2004,1907.5337
BGD,2005,1904.3351
BGD,2006,1901.1365
BGD,2007,1897.9379
BGD,2008,1894.7393
BGD,2009,1891.5406
BGD,2010,1888.342
BGD,2011,1887.3536
BGD,2012,1886.3652
BGD,2013,1885.3768
BGD,2014,1884.3884
BGD,2015,1883.4
BGD,2016,1883.4
BGD,2017,1883.4
BGD,2018,1883.4
BGR,1961,0.0
BGR,1962,0.0
BGR,1963,0.0
BGR,1964,0.0
BGR,1965,0.0
BGR,1966,0.0
BGR,1967,0.0
BGR,1968,0.0
BGR,1969,0.0
BGR,1970,0.0
BGR,1971,0.0
BGR,1972,0.0
BGR,1973,0.0
BGR,1974,0.0
BGR,1975,0.0
BGR,1976,0.0
BGR,1977,0.0
BGR,1978,0.0
BGR,1979,0.0
BGR,1980,0.0
BGR,1981,0.0
BGR,1982,0.0
BGR,1983,0.0
BGR,1984,0.0
BGR,1985,0.0
BGR,1986,0.0
BGR,1987,0.0
BGR,1988,0.0
BGR,1989,0.0
BGR,1990,3327.0
BGR,1991,3331.8
BGR,1992,3336.6
BGR,1993,3341.4
BGR,1994,3346.2
BGR,1995,3351.0
BGR,1996,3355.8
BGR,1997,3360.6
BGR,1998,3365.4
BGR,1999,3370.2
BGR,2000,3375.0
BGR,2001,3411.2
BGR,2002,3447.4
BGR,2003,3483.6
BGR,2004,3519.8
BGR,2005,3556.0
BGR,2006,3592.2
BGR,2007,3628.4
BGR,2008,3664.6
BGR,2009,3700.8
BGR,2010,3737.0
BGR,2011,3756.2
BGR,2012,3775.4
BGR,2013,3794.6
BGR,2014,3813.8
BGR,2015,3833.0
BGR,2016,3841.0
BGR,2017,3854.0
BGR,2018,3867.0
BHR,1961,0.0
BHR,1962,0.0
BHR,1963,0.0
BHR,1964,0.0
BHR,1965,0.0
BHR,1966,0.0
BHR,1967,0.0
BHR,1968,0.0
BHR,1969,0.0
BHR,1970,0.0
BHR,1971,0.0
BHR,1972,0.0
BHR,1973,0.0
BHR,1974,0.0
BHR,1975,0.0
BHR,1976,0.0
BHR,1977,0.0
BHR,1978,0.0
BHR,1979,0.0
BHR,1980,0.0
BHR,1981,0.0
BHR,1982,0.0
BHR,1983,0.0
BHR,1984,0.0
BHR,1985,0.0
BHR,1986,0.0
BHR,1987,0.0
BHR,1988,0.0
BHR,1989,0.0
BHR,1990,0.22
BHR,1991,0.235
BHR,1992,0.25
BHR,1993,0.265
BHR,1994,0.28
BHR,1995,0.295
BHR,1996,0.31
BHR,1997,0.325
BHR,1998,0.34
BHR,1999,0.355
BHR,2000,0.37
BHR,2001,0.385
BHR,2002,0.4
BHR,2003,0.415
BHR,2004,0.43
BHR,2005,0.445
BHR,2006,0.46
BHR,2007,0.475
BHR,2008,0.49
BHR,2009,0.505
BHR,2010,0.52
BHR,2011,0.536
BHR,2012,0.552
BHR,2013,0.568
BHR,2014,0.584
BHR,2015,0.6
BHR,2016,0.62
BHR,2017,0.64
BHR,2018,0.66
BHS,1961,0.0
BHS,1962,0.0
BHS,1963,0.0
BHS,1964,0.0
BHS,1965,0.0
BHS,1966,0.0
BHS,1967,0.0
BHS,1968,0.0
BHS,1969,0.0
BHS,1970,0.0
BHS,1971,0.0
BHS,1972,0.0
BHS,1973,0.0
BHS,1974,0.0
BHS,1975,0.0
BHS,1976,0.0
BHS,1977,0.0
BHS,1978,0.0
BHS,1979,0.0
BHS,1980,0.0
BHS,1981,0.0
BHS,1982,0.0
BHS,1983,0.0
BHS,1984,0.0
BHS,1985,0.0
BHS,1986,0.0
BHS,1987,0.0
BHS,1988,0.0
BHS,1989,0.0
BHS,1990,509.86
BHS,1991,509.86
BHS,1992,509.86
BHS,1993,509.86
BHS,1994,509.86
BHS,1995,509.86
BHS,1996,509.86
BHS,1997,509.86
BHS,1998,509.86
BHS,1999,509.86
BHS,2000,509.86
BHS,2001,509.86
BHS,2002,509.86
BHS,2003,509.86
BHS,2004,509.86
BHS,2005,509.86
BHS,2006,509.86
BHS,2007,509.86
BHS,2008,509.86
BHS,2009,509.86
BHS,2010,509.86
BHS,2011,509.86
BHS,2012,509.86
BHS,2013,509.86
BHS,2014,509.86
BHS,2015,509.86
BHS,2016,509.86
BHS,2017,509.86
BHS,2018,509.86
BIH,1992,2190.33
BIH,1993,2180.495
BIH,1994,2170.66
BIH,1995,2160.825
BIH,1996,2150.99
BIH,1997,2141.155
BIH,1998,2131.32
BIH,1999,2121.485
BIH,2000,2111.65
BIH,2001,2110.751
BIH,2002,2109.852
BIH,2003,2108.953
BIH,2004,2108.054
BIH,2005,2107.155
BIH,2006,2106.256
BIH,2007,2105.357
BIH,2008,2104.458
BIH,2009,2103.559
BIH,2010,2102.66
BIH,2011,2114.228
BIH,2012,2125.796
BIH,2013,2137.364
BIH,2014,2148.932
BIH,2015,2160.5
BIH,2016,2176.51
BIH,2017,2187.91
BIH,2018,2187.91
BLM,2011,0.17
BLM,2012,0.17
BLM,2013,0.17
BLM,2014,0.17
BLM,2015,0.17
BLM,2016,0.17
BLM,2017,0.17
BLM,2018,0.17
BLR,1992,7878.6
BLR,1993,7927.9
BLR,1994,7977.2
BLR,1995,8026.5
BLR,1996,8075.8
BLR,1997,8125.1
BLR,1998,8174.4
BLR,1999,8223.7
BLR,2000,8273.0
BLR,2001,8308.7
BLR,2002,8344.4
BLR,2003,8380.1
BLR,2004,8415.8
BLR,2005,8451.5
BLR,2006,8487.2
BLR,2007,8522.9
BLR,2008,8558.6
BLR,2009,8594.3
BLR,2010,8630.0
BLR,2011,8630.7
BLR,2012,8631.4
BLR,2013,8632.1
BLR,2014,8632.8
BLR,2015,8633.5
BLR,2016,8709.6
BLR,2017,8724.1
BLR,2018,8738.6
BLZ,1961,0.0
BLZ,1962,0.0
BLZ,1963,0.0
BLZ,1964,0.0
BLZ,1965,0.0
BLZ,1966,0.0
BLZ,1967,0.0
BLZ,1968,0.0
BLZ,1969,0.0
BLZ,1970,0.0
BLZ,1971,0.0
BLZ,1972,0.0
BLZ,1973,0.0
