ISO,Year,Item,FIi
AFG,2016,"Meat, duck",0.03
AFG,2016,"Meat, game",0.0
AFG,2016,"Meat, goat",0.003
AFG,2016,"Meat, goose and guinea fowl",0.0
AFG,2016,"Meat, pig",0.095
AFG,2016,"Meat, sheep",0.07
AFG,2016,"Meat, turkey",0.8250000000000001
AFG,2016,"Melons, other (inc.cantaloupes)",0.06
AFG,2016,Melonseed,0.017
AFG,2016,"Milk, whole fresh camel",0.0
AFG,2016,"Milk, whole fresh cow",38.859
AFG,2016,"Milk, whole fresh goat",0.0
AFG,2016,"Milk, whole fresh sheep",0.0
AFG,2016,Millet,0.7030000000000001
AFG,2016,Mushrooms and truffles,0.021
AFG,2016,Mustard seed,0.0
AFG,2016,"Nutmeg, mace and cardamoms",0.096
AFG,2016,Nuts nes,0.022
AFG,2016,Oats,0.03
AFG,2016,Offals nes,0.0
AFG,2016,"Offals, edible, camels",0.0
AFG,2016,"Offals, edible, cattle",3.614
AFG,2016,"Offals, edible, goats",0.0
AFG,2016,"Offals, liver chicken",0.114
AFG,2016,"Offals, liver geese",0.0
AFG,2016,"Offals, liver turkeys",0.0
AFG,2016,"Offals, sheep,edible",1.393
AFG,2016,Oilseeds nes,0.009000000000000001
AFG,2016,Olives,0.0
AFG,2016,"Onions, dry",12.999
AFG,2016,Oranges,3.72
AFG,2016,Papayas,0.0
AFG,2016,Peaches and nectarines,0.357
AFG,2016,Pears,0.10200000000000001
AFG,2016,"Peas, dry",11.4
AFG,2016,"Peas, green",0.998
AFG,2016,Pepper (piper spp.),0.12
AFG,2016,Persimmons,0.20400000000000001
AFG,2016,Pigeon peas,0.0
AFG,2016,Pineapples,0.058
AFG,2016,Pistachios,2.116
AFG,2016,Plantains and others,0.028
AFG,2016,Plums and sloes,0.038
AFG,2016,Poppy seed,0.0
AFG,2016,Potatoes,148.703
AFG,2016,Pulses nes,30.364
AFG,2016,"Pumpkins, squash and gourds",0.0
AFG,2016,Quinces,0.0
AFG,2016,Quinoa,0.0
AFG,2016,Rapeseed,0.005
AFG,2016,Raspberries,0.0
AFG,2016,"Rice, paddy",0.073
AFG,2016,Roots and tubers nes,0.0
AFG,2016,Rye,0.0
AFG,2016,Safflower seed,0.168
AFG,2016,Sesame seed,0.001
AFG,2016,Sorghum,0.0
AFG,2016,Soybeans,0.056
AFG,2016,Spices nes,0.217
AFG,2016,Spinach,0.01
AFG,2016,Strawberries,0.0
AFG,2016,Sugar beet,0.0
AFG,2016,Sugar cane,1.588
AFG,2016,Sunflower seed,4.534
AFG,2016,Sweet corn frozen,0.049
AFG,2016,Sweet corn prep or preserved,0.082
AFG,2016,Sweet potatoes,3.2960000000000003
AFG,2016,"Tangerines, mandarins, clementines, satsumas",138.133
AFG,2016,Taro (cocoyam),0.0
AFG,2016,Tea,51.603
AFG,2016,Tomatoes,69.991
AFG,2016,Vanilla,0.0
AFG,2016,"Vegetables, fresh nes",82.587
AFG,2016,"Vegetables, leguminous nes",0.082
AFG,2016,"Walnuts, with shell",0.038
AFG,2016,Watermelons,5.337
AFG,2016,Wheat,258.473
AFG,2016,Yams,0.0
AFG,2017,"Almonds, with shell",0.91
AFG,2017,"Anise, badian, fennel, coriander",0.065
AFG,2017,Apples,5.309
AFG,2017,Apricots,0.02
AFG,2017,Areca nuts,0.022
AFG,2017,Artichokes,0.0
AFG,2017,Asparagus,0.0
AFG,2017,Avocados,0.021
AFG,2017,Bananas,132.929
AFG,2017,Barley,15.389000000000001
AFG,2017,"Beans, dry",39.566
AFG,2017,"Beans, green",0.0
AFG,2017,Berries nes,0.0
AFG,2017,"Brazil nuts, with shell",0.0
AFG,2017,"Broad beans, horse beans, dry",0.0
AFG,2017,Buckwheat,0.008
AFG,2017,Cabbages and other brassicas,25.84
AFG,2017,Canary seed,0.0
AFG,2017,Carrots and turnips,0.774
AFG,2017,"Cashew nuts, with shell",0.0
AFG,2017,Castor oil seed,0.0
AFG,2017,Cauliflowers and broccoli,0.315
AFG,2017,Cereals nes,0.002
AFG,2017,Cherries,0.014
AFG,2017,"Cherries, sour",0.0
AFG,2017,Chestnut,0.0
