ISO,Year,EFR
ARG,2025,515.8
ARG,2026,515.8
ARG,2027,515.8
ARG,2028,515.8
ARG,2029,515.8
ARG,2030,515.8
ARG,2031,515.8
ARG,2032,515.8
ARG,2033,515.8
ARG,2034,515.8
ARG,2035,515.8
ARG,2036,515.8
ARG,2037,515.8
ARG,2038,515.8
ARG,2039,515.8
ARG,2040,515.8
ARG,2041,515.8
ARG,2042,515.8
ARG,2043,515.8
ARG,2044,515.8
ARG,2045,515.8
ARG,2046,515.8
ARG,2047,515.8
ARG,2048,515.8
ARG,2049,515.8
ARG,2050,515.8
ARM,1980,2.812
ARM,1981,2.812
ARM,1982,2.812
ARM,1983,2.812
ARM,1984,2.812
ARM,1985,2.812
ARM,1986,2.812
ARM,1987,2.812
ARM,1988,2.812
ARM,1989,2.812
ARM,1990,2.812
ARM,1991,2.812
ARM,1992,2.812
ARM,1993,2.812
ARM,1994,2.812
ARM,1995,2.812
ARM,1996,2.812
ARM,1997,2.812
ARM,1998,2.812
ARM,1999,2.812
ARM,2000,2.812
ARM,2001,2.812
ARM,2002,2.812
ARM,2003,2.812
ARM,2004,2.812
ARM,2005,2.812
ARM,2006,2.812
ARM,2007,2.812
ARM,2008,2.812
ARM,2009,2.812
ARM,2010,2.812
ARM,2011,2.812
ARM,2012,2.812
ARM,2013,2.812
ARM,2014,2.812
ARM,2015,2.812
ARM,2016,2.812
ARM,2017,2.812
ARM,2018,2.812
ARM,2019,2.812
ARM,2020,2.812
ARM,2021,2.812
ARM,2022,2.812
ARM,2023,2.812
ARM,2024,2.812
ARM,2025,2.812
ARM,2026,2.812
ARM,2027,2.812
ARM,2028,2.812
ARM,2029,2.812
ARM,2030,2.812
ARM,2031,2.812
ARM,2032,2.812
ARM,2033,2.812
ARM,2034,2.812
ARM,2035,2.812
ARM,2036,2.812
ARM,2037,2.812
ARM,2038,2.812
ARM,2039,2.812
ARM,2040,2.812
ARM,2041,2.812
ARM,2042,2.812
ARM,2043,2.812
ARM,2044,2.812
ARM,2045,2.812
ARM,2046,2.812
ARM,2047,2.812
ARM,2048,2.812
ARM,2049,2.812
ARM,2050,2.812
ASM,1980,0.0
ASM,1981,0.0
ASM,1982,0.0
ASM,1983,0.0
ASM,1984,0.0
ASM,1985,0.0
ASM,1986,0.0
ASM,1987,0.0
ASM,1988,0.0
ASM,1989,0.0
ASM,1990,0.0
ASM,1991,0.0
ASM,1992,0.0
ASM,1993,0.0
ASM,1994,0.0
ASM,1995,0.0
ASM,1996,0.0
ASM,1997,0.0
ASM,1998,0.0
ASM,1999,0.0
ASM,2000,0.0
ASM,2001,0.0
ASM,2002,0.0
ASM,2003,0.0
ASM,2004,0.0
ASM,2005,0.0
ASM,2006,0.0
ASM,2007,0.0
ASM,2008,0.0
ASM,2009,0.0
ASM,2010,0.0
ASM,2011,0.0
ASM,2012,0.0
ASM,2013,0.0
ASM,2014,0.0
ASM,2015,0.0
ASM,2016,0.0
ASM,2017,0.0
ASM,2018,0.0
ASM,2019,0.0
ASM,2020,0.0
ASM,2021,0.0
ASM,2022,0.0
ASM,2023,0.0
ASM,2024,0.0
ASM,2025,0.0
ASM,2026,0.0
ASM,2027,0.0
ASM,2028,0.0
ASM,2029,0.0
ASM,2030,0.0
ASM,2031,0.0
ASM,2032,0.0
ASM,2033,0.0
ASM,2034,0.0
ASM,2035,0.0
ASM,2036,0.0
ASM,2037,0.0
ASM,2038,0.0
ASM,2039,0.0
ASM,2040,0.0
ASM,2041,0.0
ASM,2042,0.0
ASM,2043,0.0
ASM,2044,0.0
ASM,2045,0.0
ASM,2046,0.0
ASM,2047,0.0
ASM,2048,0.0
ASM,2049,0.0
ASM,2050,0.0
ATF,1980,0.0
ATF,1981,0.0
ATF,1982,0.0
ATF,1983,0.0
ATF,1984,0.0
ATF,1985,0.0
ATF,1986,0.0
ATF,1987,0.0
ATF,1988,0.0
ATF,1989,0.0
ATF,1990,0.0
ATF,1991,0.0
ATF,1992,0.0
ATF,1993,0.0
ATF,1994,0.0
ATF,1995,0.0
ATF,1996,0.0
ATF,1997,0.0
ATF,1998,0.0
ATF,1999,0.0
ATF,2000,0.0
ATF,2001,0.0
ATF,2002,0.0
ATF,2003,0.0
ATF,2004,0.0
ATF,2005,0.0
ATF,2006,0.0
ATF,2007,0.0
ATF,2008,0.0
ATF,2009,0.0
ATF,2010,0.0
