ISO,Year,TFA
ATG,2035,0.052
ATG,2036,0.052
ATG,2037,0.052
ATG,2038,0.052
ATG,2039,0.052
ATG,2040,0.052
ATG,2041,0.052
ATG,2042,0.052
ATG,2043,0.052
ATG,2044,0.052
ATG,2045,0.052
ATG,2046,0.052
ATG,2047,0.052
ATG,2048,0.052
ATG,2049,0.052
ATG,2050,0.052
AUS,1980,492.0
AUS,1981,492.0
AUS,1982,492.0
AUS,1983,492.0
AUS,1984,492.0
AUS,1985,492.0
AUS,1986,492.0
AUS,1987,492.0
AUS,1988,492.0
AUS,1989,492.0
AUS,1990,492.0
AUS,1991,492.0
AUS,1992,492.0
AUS,1993,492.0
AUS,1994,492.0
AUS,1995,492.0
AUS,1996,492.0
AUS,1997,492.0
AUS,1998,492.0
AUS,1999,492.0
AUS,2000,492.0
AUS,2001,492.0
AUS,2002,492.0
AUS,2003,492.0
AUS,2004,492.0
AUS,2005,492.0
AUS,2006,492.0
AUS,2007,492.0
AUS,2008,492.0
AUS,2009,492.0
AUS,2010,492.0
AUS,2011,492.0
AUS,2012,492.0
AUS,2013,492.0
AUS,2014,492.0
AUS,2015,492.0
AUS,2016,492.0
AUS,2017,492.0
AUS,2018,492.0
AUS,2019,492.0
AUS,2020,492.0
AUS,2021,492.0
AUS,2022,492.0
AUS,2023,492.0
AUS,2024,492.0
AUS,2025,492.0
AUS,2026,492.0
AUS,2027,492.0
AUS,2028,492.0
AUS,2029,492.0
AUS,2030,492.0
AUS,2031,492.0
AUS,2032,492.0
AUS,2033,492.0
AUS,2034,492.0
AUS,2035,492.0
AUS,2036,492.0
AUS,2037,492.0
AUS,2038,492.0
AUS,2039,492.0
AUS,2040,492.0
AUS,2041,492.0
AUS,2042,492.0
AUS,2043,492.0
AUS,2044,492.0
AUS,2045,492.0
AUS,2046,492.0
AUS,2047,492.0
AUS,2048,492.0
AUS,2049,492.0
AUS,2050,492.0
AUT,1980,77.7
AUT,1981,77.7
AUT,1982,77.7
AUT,1983,77.7
AUT,1984,77.7
AUT,1985,77.7
AUT,1986,77.7
AUT,1987,77.7
AUT,1988,77.7
AUT,1989,77.7
AUT,1990,77.7
AUT,1991,77.7
AUT,1992,77.7
AUT,1993,77.7
AUT,1994,77.7
AUT,1995,77.7
AUT,1996,77.7
AUT,1997,77.7
AUT,1998,77.7
AUT,1999,77.7
AUT,2000,77.7
AUT,2001,77.7
AUT,2002,77.7
AUT,2003,77.7
AUT,2004,77.7
AUT,2005,77.7
AUT,2006,77.7
AUT,2007,77.7
AUT,2008,77.7
