ISO,Year,WRR
ESP,2002,72.0
ESP,2003,72.0
ESP,2004,72.0
ESP,2005,72.0
ESP,2006,72.0
ESP,2007,72.0
ESP,2008,72.0
ESP,2009,72.0
ESP,2010,72.0
ESP,2011,72.0
ESP,2012,72.0
ESP,2013,72.0
ESP,2014,72.0
ESP,2015,72.0
ESP,2016,72.0
ESP,2017,72.0
ESP,2018,72.0
ESP,2019,72.0
EST,2000,70.0
EST,2001,70.0
EST,2002,70.0
EST,2003,70.0
EST,2004,70.0
EST,2005,70.0
EST,2006,70.0
EST,2007,70.0
EST,2008,70.0
EST,2009,70.0
EST,2010,70.0
EST,2011,70.0
EST,2012,70.0
EST,2013,70.0
EST,2014,70.0
EST,2015,70.0
EST,2016,70.0
EST,2017,70.0
EST,2018,70.0
EST,2019,70.0
ETH,2000,28.0
ETH,2001,28.0
ETH,2002,28.0
ETH,2003,28.0
ETH,2004,28.0
ETH,2005,28.0
ETH,2006,28.0
ETH,2007,28.0
ETH,2008,28.0
ETH,2009,28.0
ETH,2010,28.0
ETH,2011,28.0
ETH,2012,28.0
ETH,2013,28.0
ETH,2014,28.0
ETH,2015,28.0
ETH,2016,28.0
ETH,2017,28.0
ETH,2018,28.0
ETH,2019,28.0
FIN,2000,70.0
FIN,2001,70.0
FIN,2002,70.0
FIN,2003,70.0
FIN,2004,70.0
FIN,2005,70.0
FIN,2006,70.0
FIN,2007,70.0
FIN,2008,70.0
FIN,2009,70.0
FIN,2010,70.0
FIN,2011,70.0
FIN,2012,70.0
FIN,2013,70.0
FIN,2014,70.0
FIN,2015,70.0
FIN,2016,70.0
FIN,2017,70.0
FIN,2018,70.0
FIN,2019,70.0
FJI,2000,0.0
FJI,2001,0.0
FJI,2002,0.0
FJI,2003,0.0
FJI,2004,0.0
FJI,2005,0.0
FJI,2006,0.0
FJI,2007,0.0
FJI,2008,0.0
FJI,2009,0.0
FJI,2010,0.0
FJI,2011,0.0
FJI,2012,0.0
FJI,2013,0.0
FJI,2014,0.0
FJI,2015,0.0
FJI,2016,0.0
FJI,2017,0.0
FJI,2018,0.0
FJI,2019,0.0
FRA,2000,60.0
FRA,2001,60.0
FRA,2002,60.0
FRA,2003,60.0
FRA,2004,60.0
FRA,2005,60.0
FRA,2006,60.0
FRA,2007,60.0
FRA,2008,60.0
FRA,2009,60.0
FRA,2010,60.0
FRA,2011,60.0
FRA,2012,60.0
FRA,2013,60.0
FRA,2014,60.0
FRA,2015,60.0
FRA,2016,60.0
FRA,2017,60.0
FRA,2018,60.0
FRA,2019,60.0
FRO,2000,0.0
FRO,2001,0.0
FRO,2002,0.0
FRO,2003,0.0
FRO,2004,0.0
FRO,2005,0.0
FRO,2006,0.0
FRO,2007,0.0
FRO,2008,0.0
FRO,2009,0.0
FRO,2010,0.0
FRO,2011,0.0
FRO,2012,0.0
FRO,2013,0.0
FRO,2014,0.0
FRO,2015,0.0
FRO,2016,0.0
FRO,2017,0.0
FRO,2018,0.0
