ISO,Year,AGVA
CHL,2012,8421309199.62418
CHL,2013,8416196010.08109
CHL,2014,8431584475.24656
CHL,2015,8959685694.63141
CHL,2016,9162366283.71422
CHL,2017,9365096297.04623
CHL,2018,9520363694.26034
CHL,2019,9372238236.10928
CIV,2000,6560861111.42032
CIV,2001,6560861111.42032
CIV,2002,6560861111.42032
CIV,2003,6560861111.42032
CIV,2004,6560861111.42032
CIV,2005,6560861111.42032
CIV,2006,6560861111.42032
CIV,2007,6560861111.42032
CIV,2008,6560861111.42032
CIV,2009,6367908962.75475
CIV,2010,6109981460.98288
CIV,2011,6547207597.22359
CIV,2012,6373230964.30709
CIV,2013,6638182184.69192
CIV,2014,7712420591.16598
CIV,2015,7934412573.3932
CIV,2016,7614529214.59552
CIV,2017,7862196646.51759
CIV,2018,8276233031.08746
CIV,2019,8575536279.95249
CMR,2000,2732260283.65428
CMR,2001,2903085144.97539
CMR,2002,2990336991.52407
CMR,2003,2923086838.83775
CMR,2004,3154499341.47657
CMR,2005,3202184353.15652
CMR,2006,3180057331.34338
CMR,2007,3324695860.23863
CMR,2008,3454794178.99338
CMR,2009,3482180024.69464
CMR,2010,3681410638.72401
CMR,2011,3777433205.998
CMR,2012,3915685472.34141
CMR,2013,4190725579.3413
CMR,2014,4449967254.61063
CMR,2015,4685377050.46354
CMR,2016,4921388658.83254
CMR,2017,5079526029.49252
CMR,2018,5337279685.47088
CMR,2019,5484654756.6533
COD,2000,3987126734.92961
COD,2001,3927048049.37578
COD,2002,3784321436.60504
COD,2003,3809433691.41325
COD,2004,3870783883.53965
COD,2005,3889427348.65992
COD,2006,4108705014.63211
COD,2007,4222247330.83627
COD,2008,4339310009.43435
COD,2009,4460004914.71371
COD,2010,4621208405.2175
COD,2011,4786276042.02263
COD,2012,4951550802.79816
COD,2013,5161783746.94999
COD,2014,5406441009.29844
COD,2015,5658211438.61444
COD,2016,5842672415.03766
COD,2017,5936764241.85357
COD,2018,6030197373.27222
COD,2019,6219773099.63707
COG,2000,347714223.311898
COG,2001,375609940.662343
COG,2002,407827529.714972
COG,2003,433365862.500591
COG,2004,454189426.156557
COG,2005,474227194.957582
COG,2006,480829962.972372
COG,2007,474256361.023517
COG,2008,508520668.755213
COG,2009,511195432.130884
COG,2010,531002479.212068
COG,2011,557457917.440901
COG,2012,645643650.4004
COG,2013,669409877.821066
COG,2014,667750681.540793
COG,2015,646725437.941321
COG,2016,646541338.367058
COG,2017,704036613.926358
COG,2018,693027214.373984
COG,2019,708446172.174099
COK,2000,0.0
COK,2001,0.0
COK,2002,0.0
COK,2003,0.0
COK,2004,0.0
COK,2005,0.0
COK,2006,0.0
COK,2007,0.0
COK,2008,0.0
COK,2009,0.0
COK,2010,0.0
COK,2011,0.0
COK,2012,0.0
COK,2013,0.0
COK,2014,0.0
COK,2015,0.0
COK,2016,0.0
COK,2017,0.0
COK,2018,0.0
COK,2019,0.0
COL,2000,14812417228.8527
COL,2001,15074247928.0392
COL,2002,15760244359.8561
COL,2003,16247249460.3239
COL,2004,16730981677.0502
COL,2005,17201741578.3279
COL,2006,17568382935.1374
COL,2007,18259011827.5433
COL,2008,18111992273.5751
COL,2009,18069792216.4176
COL,2010,18124697667.1279
COL,2011,18470919641.4418
COL,2012,18933305213.9527
COL,2013,20344511426.4247
COL,2014,20936673518.7963
COL,2015,21836941404.8235
COL,2016,22434548665.8606
COL,2017,23685576166.7562
COL,2018,24250058651.745
COL,2019,24707024171.3366
COM,2000,214871307.884235
COM,2001,219882689.243558
COM,2002,224994055.841611
COM,2003,229729720.330501
COM,2004,234138160.401732
COM,2005,240782633.993628
COM,2006,247157450.426529
COM,2007,250593306.811942
COM,2008,256107644.220629
COM,2009,268911814.489373
COM,2010,276171348.792239
COM,2011,281970492.638518
COM,2012,277743843.91043
COM,2013,292462882.99362
COM,2014,289245176.219979
COM,2015,287687830.380382
COM,2016,293141570.674689
COM,2017,304239932.173603
COM,2018,312511438.286634
COM,2019,312677945.322696
CPV,2000,101653608.916543
CPV,2001,93245949.8451704
CPV,2002,90176973.7189296
CPV,2003,91963678.1966606
CPV,2004,97545458.6565363
CPV,2005,93848155.0274013
CPV,2006,94115049.22133
CPV,2007,123907815.336208
CPV,2008,125089899.542481
CPV,2009,138244074.799484
CPV,2010,132974724.593677
CPV,2011,139905355.64335
CPV,2012,152411387.739429
CPV,2013,150398268.34849
CPV,2014,150145093.054008
CPV,2015,162300426.763657
CPV,2016,156620244.348672
CPV,2017,136996469.860759
CPV,2018,110908062.148836
CPV,2019,102805021.933822
CRI,2000,1956167215.59797
CRI,2001,1967669713.22453
CRI,2002,1918521635.27561
CRI,2003,2065636275.10767
CRI,2004,2112925200.12232
CRI,2005,2157709519.24727
CRI,2006,2354459168.62563
CRI,2007,2462879563.0463
CRI,2008,2383096941.37568
CRI,2009,2303138273.34702
CRI,2010,2454949981.12506
CRI,2011,2471767516.18116
CRI,2012,2591466580.39188
CRI,2013,2594202781.9393
CRI,2014,2634110779.60016
CRI,2015,2562266174.07091
CRI,2016,2695715132.93088
CRI,2017,2796300430.38298
CRI,2018,2846682833.26486
CRI,2019,2813820245.62513
CUB,2000,2488219696.9697
