ISO,Year,SPIR
CYP,2011,0.0
CYP,2012,0.0
CYP,2013,0.0
CYP,2014,0.0
CYP,2015,0.0
CYP,2016,0.0
CYP,2017,0.0
CYP,2018,0.0
CYP,2019,0.0
CZE,2000,11.0
CZE,2001,11.0
CZE,2002,11.0
CZE,2003,11.0
CZE,2004,11.0
CZE,2005,11.0
CZE,2006,11.0
CZE,2007,11.0
CZE,2008,11.0
CZE,2009,11.0
CZE,2010,11.0
CZE,2011,11.0
CZE,2012,11.0
CZE,2013,11.0
CZE,2014,11.0
CZE,2015,11.0
CZE,2016,11.0
CZE,2017,11.0
CZE,2018,11.0
CZE,2019,11.0
DEU,2000,500.0
DEU,2001,500.0
DEU,2002,500.0
DEU,2003,500.0
DEU,2004,500.0
DEU,2005,500.0
DEU,2006,500.0
DEU,2007,500.0
DEU,2008,500.0
DEU,2009,500.0
DEU,2010,500.0
DEU,2011,500.0
DEU,2012,500.0
DEU,2013,500.0
DEU,2014,500.0
DEU,2015,500.0
DEU,2016,500.0
DEU,2017,500.0
DEU,2018,500.0
DEU,2019,500.0
DJI,2000,0.0
DJI,2001,0.0
DJI,2002,0.0
DJI,2003,0.0
DJI,2004,0.0
DJI,2005,0.0
DJI,2006,0.0
DJI,2007,0.0
DJI,2008,0.0
DJI,2009,0.0
DJI,2010,0.0
DJI,2011,0.0
DJI,2012,0.0
DJI,2013,0.0
DJI,2014,0.0
DJI,2015,0.0
DJI,2016,0.0
DJI,2017,0.0
DJI,2018,0.0
DJI,2019,0.0
DMA,2000,0.0
DMA,2001,0.0
DMA,2002,0.0
DMA,2003,0.0
DMA,2004,0.0
DMA,2005,0.0
DMA,2006,0.0
DMA,2007,0.0
DMA,2008,0.0
DMA,2009,0.0
DMA,2010,0.0
DMA,2011,0.0
DMA,2012,0.0
DMA,2013,0.0
DMA,2014,0.0
DMA,2015,0.0
DMA,2016,0.0
DMA,2017,0.0
DMA,2018,0.0
DMA,2019,0.0
DNK,2000,0.0
DNK,2001,0.0
DNK,2002,0.0
DNK,2003,0.0
DNK,2004,0.0
DNK,2005,0.0
DNK,2006,0.0
DNK,2007,0.0
DNK,2008,0.0
DNK,2009,0.0
DNK,2010,0.0
DNK,2011,0.0
DNK,2012,0.0
DNK,2013,0.0
DNK,2014,0.0
DNK,2015,0.0
DNK,2016,0.0
DNK,2017,0.0
DNK,2018,0.0
DNK,2019,0.0
DOM,2000,0.0
DOM,2001,0.0
DOM,2002,0.0
DOM,2003,0.0
DOM,2004,0.0
DOM,2005,0.0
DOM,2006,0.0
DOM,2007,0.0
DOM,2008,0.0
DOM,2009,0.0
DOM,2010,0.0
DOM,2011,0.0
DOM,2012,0.0
DOM,2013,0.0
DOM,2014,0.0
DOM,2015,0.0
DOM,2016,0.0
DOM,2017,0.0
DOM,2018,0.0
DOM,2019,0.0
DZA,2000,270.0
DZA,2001,270.0
DZA,2002,270.0
DZA,2003,270.0
DZA,2004,270.0
DZA,2005,270.0
DZA,2006,270.0
DZA,2007,270.0
DZA,2008,270.0
DZA,2009,270.0
DZA,2010,270.0
DZA,2011,270.0
DZA,2012,270.0
DZA,2013,270.0
DZA,2014,270.0
DZA,2015,270.0
DZA,2016,270.0
DZA,2017,409.0
DZA,2018,409.0
DZA,2019,409.0
ECU,2000,170.1
ECU,2001,170.1
ECU,2002,170.1
ECU,2003,170.1
ECU,2004,170.1
ECU,2005,170.1
ECU,2006,170.1
ECU,2007,170.1
ECU,2008,170.1
ECU,2009,170.1
ECU,2010,170.1
ECU,2011,170.1
ECU,2012,170.1
ECU,2013,170.1
ECU,2014,170.1
ECU,2015,170.1
ECU,2016,170.1
ECU,2017,170.1
ECU,2018,170.1
ECU,2019,170.1
EGY,2000,171.9
EGY,2001,171.9
EGY,2002,171.9
EGY,2003,171.9
EGY,2004,171.9
EGY,2005,171.9
EGY,2006,171.9
EGY,2007,171.9
EGY,2008,171.9
EGY,2009,171.9
EGY,2010,410.0
EGY,2011,410.0
EGY,2012,410.0
EGY,2013,410.0
EGY,2014,410.0
EGY,2015,410.0
EGY,2016,410.0
EGY,2017,410.0
EGY,2018,410.0
EGY,2019,410.0
ERI,2000,0.0
ERI,2001,0.0
ERI,2002,0.0
ERI,2003,0.0
ERI,2004,0.0
ERI,2005,0.0
ERI,2006,0.0
ERI,2007,0.0
ERI,2008,0.0
ERI,2009,0.0
ERI,2010,0.0
ERI,2011,0.0
ERI,2012,0.0
ERI,2013,0.0
ERI,2014,0.0
ERI,2015,0.0
ERI,2016,0.0
ERI,2017,0.0
ERI,2018,0.0
ERI,2019,0.0
ESP,2000,0.0
ESP,2001,0.0
ESP,2002,0.0
ESP,2003,0.0
ESP,2004,0.0
ESP,2005,0.0
ESP,2006,0.0
ESP,2007,0.0
ESP,2008,0.0
ESP,2009,0.0
ESP,2010,0.0
ESP,2011,0.0
ESP,2012,0.0
ESP,2013,0.0
ESP,2014,0.0
ESP,2015,0.0
ESP,2016,0.0
ESP,2017,0.0
ESP,2018,0.0
ESP,2019,0.0
EST,2000,0.0
EST,2001,0.0
EST,2002,0.0
EST,2003,0.0
EST,2004,0.0
EST,2005,0.0
EST,2006,0.0
EST,2007,0.0
EST,2008,0.0
EST,2009,0.0
EST,2010,0.0
EST,2011,0.0
EST,2012,0.0
EST,2013,0.0
EST,2014,0.0
EST,2015,0.0
EST,2016,0.0
EST,2017,0.0
EST,2018,0.0
EST,2019,0.0
ETH,2000,6.355
ETH,2001,6.355
ETH,2002,6.355
ETH,2003,6.355
ETH,2004,6.355
ETH,2005,6.355
ETH,2006,6.355
ETH,2007,6.355
ETH,2008,6.355
ETH,2009,6.355
ETH,2010,6.355
ETH,2011,6.355
ETH,2012,6.355
ETH,2013,6.355
ETH,2014,6.355
ETH,2015,6.355
ETH,2016,6.355
ETH,2017,6.355
ETH,2018,6.355
ETH,2019,6.355
FIN,2000,58.78
FIN,2001,58.78
FIN,2002,58.78
FIN,2003,58.78
FIN,2004,58.78
FIN,2005,58.78
FIN,2006,58.78
FIN,2007,58.78
FIN,2008,58.78
FIN,2009,58.78
FIN,2010,58.78
FIN,2011,58.78
FIN,2012,58.78
FIN,2013,58.78
FIN,2014,58.78
FIN,2015,58.78
FIN,2016,58.78
FIN,2017,58.78
FIN,2018,58.78
FIN,2019,58.78
FJI,2000,0.0
FJI,2001,0.0
FJI,2002,0.0
FJI,2003,0.0
FJI,2004,0.0
FJI,2005,0.0
FJI,2006,0.0
FJI,2007,0.0
FJI,2008,0.0
FJI,2009,0.0
FJI,2010,0.0
FJI,2011,0.0
FJI,2012,0.0
FJI,2013,0.0
FJI,2014,0.0
FJI,2015,0.0
FJI,2016,0.0
FJI,2017,0.0
FJI,2018,0.0
FJI,2019,0.0
FRA,2000,2406.0
FRA,2001,2406.0
FRA,2002,2406.0
FRA,2003,2406.0
FRA,2004,2406.0
FRA,2005,2406.0
FRA,2006,2406.0
FRA,2007,2420.0
FRA,2008,2420.0
FRA,2009,2420.0
FRA,2010,2420.0
FRA,2011,2420.0
FRA,2012,2420.0
FRA,2013,2420.0
FRA,2014,2420.0
FRA,2015,2420.0
FRA,2016,2420.0
FRA,2017,2420.0
FRA,2018,2420.0
FRA,2019,2420.0
FRO,2000,0.0
FRO,2001,0.0
FRO,2002,0.0
FRO,2003,0.0
FRO,2004,0.0
FRO,2005,0.0
FRO,2006,0.0
FRO,2007,0.0
FRO,2008,0.0
FRO,2009,0.0
FRO,2010,0.0
FRO,2011,0.0
FRO,2012,0.0
FRO,2013,0.0
FRO,2014,0.0
