ISO,Year,IRWR
BRN,2012,8.5
BRN,2013,8.5
BRN,2014,8.5
BRN,2015,8.5
BRN,2016,8.5
BRN,2017,8.5
BRN,2018,8.5
BRN,2019,8.5
BTN,2000,81.0
BTN,2001,81.0
BTN,2002,81.0
BTN,2003,81.0
BTN,2004,81.0
BTN,2005,81.0
BTN,2006,81.0
BTN,2007,78.0
BTN,2008,78.0
BTN,2009,78.0
BTN,2010,78.0
BTN,2011,78.0
BTN,2012,78.0
BTN,2013,78.0
BTN,2014,78.0
BTN,2015,78.0
BTN,2016,78.0
BTN,2017,78.0
BTN,2018,78.0
BTN,2019,78.0
BWA,2000,2.4
BWA,2001,2.4
BWA,2002,2.4
BWA,2003,2.4
BWA,2004,2.4
BWA,2005,2.4
BWA,2006,2.4
BWA,2007,2.4
BWA,2008,2.4
BWA,2009,2.4
BWA,2010,2.4
BWA,2011,2.4
BWA,2012,2.4
BWA,2013,2.4
BWA,2014,2.4
BWA,2015,2.4
BWA,2016,2.4
BWA,2017,2.4
BWA,2018,2.4
BWA,2019,2.4
CAF,2000,141.0
CAF,2001,141.0
CAF,2002,141.0
CAF,2003,141.0
CAF,2004,141.0
CAF,2005,141.0
CAF,2006,141.0
CAF,2007,141.0
CAF,2008,141.0
CAF,2009,141.0
CAF,2010,141.0
CAF,2011,141.0
CAF,2012,141.0
CAF,2013,141.0
CAF,2014,141.0
CAF,2015,141.0
CAF,2016,141.0
CAF,2017,141.0
CAF,2018,141.0
CAF,2019,141.0
CAN,2000,2850.0
CAN,2001,2850.0
CAN,2002,2850.0
CAN,2003,2850.0
CAN,2004,2850.0
CAN,2005,2850.0
CAN,2006,2850.0
CAN,2007,2850.0
CAN,2008,2850.0
CAN,2009,2850.0
CAN,2010,2850.0
CAN,2011,2850.0
CAN,2012,2850.0
CAN,2013,2850.0
CAN,2014,2850.0
CAN,2015,2850.0
CAN,2016,2850.0
CAN,2017,2850.0
CAN,2018,2850.0
CAN,2019,2850.0
CHE,2000,40.4
CHE,2001,40.4
CHE,2002,40.4
CHE,2003,40.4
CHE,2004,40.4
CHE,2005,40.4
CHE,2006,40.4
CHE,2007,40.4
CHE,2008,40.4
CHE,2009,40.4
CHE,2010,40.4
CHE,2011,40.4
CHE,2012,40.4
CHE,2013,40.4
CHE,2014,40.4
CHE,2015,40.4
CHE,2016,40.4
CHE,2017,40.4
CHE,2018,40.4
CHE,2019,40.4
CHL,2000,885.0
CHL,2001,885.0
CHL,2002,885.0
CHL,2003,885.0
CHL,2004,885.0
CHL,2005,885.0
CHL,2006,885.0
CHL,2007,885.0
CHL,2008,885.0
CHL,2009,885.0
CHL,2010,885.0
CHL,2011,885.0
CHL,2012,885.0
CHL,2013,885.0
CHL,2014,885.0
CHL,2015,885.0
CHL,2016,885.0
CHL,2017,885.0
CHL,2018,885.0
CHL,2019,885.0
CIV,2000,76.84
CIV,2001,76.84
CIV,2002,76.84
CIV,2003,76.84
CIV,2004,76.84
CIV,2005,76.84
CIV,2006,76.84
CIV,2007,76.84
CIV,2008,76.84
CIV,2009,76.84
CIV,2010,76.84
CIV,2011,76.84
CIV,2012,76.84
CIV,2013,76.84
CIV,2014,76.84
CIV,2015,76.84
CIV,2016,76.84
CIV,2017,76.84
