ISO,Year,ERWR
BRA,2003,2986.0
BRA,2004,2986.0
BRA,2005,2986.0
BRA,2006,2986.0
BRA,2007,2986.0
BRA,2008,2986.0
BRA,2009,2986.0
BRA,2010,2986.0
BRA,2011,2986.0
BRA,2012,2986.0
BRA,2013,2986.0
BRA,2014,2986.0
BRA,2015,2986.0
BRA,2016,2986.0
BRA,2017,2986.0
BRA,2018,2986.0
BRA,2019,2986.0
BRB,2000,0.0
BRB,2001,0.0
BRB,2002,0.0
BRB,2003,0.0
BRB,2004,0.0
BRB,2005,0.0
BRB,2006,0.0
BRB,2007,0.0
BRB,2008,0.0
BRB,2009,0.0
BRB,2010,0.0
BRB,2011,0.0
BRB,2012,0.0
BRB,2013,0.0
BRB,2014,0.0
BRB,2015,0.0
BRB,2016,0.0
BRB,2017,0.0
BRB,2018,0.0
BRB,2019,0.0
BRN,2000,0.0
BRN,2001,0.0
BRN,2002,0.0
BRN,2003,0.0
BRN,2004,0.0
BRN,2005,0.0
BRN,2006,0.0
BRN,2007,0.0
BRN,2008,0.0
BRN,2009,0.0
BRN,2010,0.0
BRN,2011,0.0
BRN,2012,0.0
BRN,2013,0.0
BRN,2014,0.0
BRN,2015,0.0
BRN,2016,0.0
BRN,2017,0.0
BRN,2018,0.0
BRN,2019,0.0
BTN,2000,0.0
BTN,2001,0.0
BTN,2002,0.0
BTN,2003,0.0
BTN,2004,0.0
BTN,2005,0.0
BTN,2006,0.0
BTN,2007,0.0
BTN,2008,0.0
BTN,2009,0.0
BTN,2010,0.0
BTN,2011,0.0
BTN,2012,0.0
BTN,2013,0.0
BTN,2014,0.0
BTN,2015,0.0
BTN,2016,0.0
BTN,2017,0.0
BTN,2018,0.0
BTN,2019,0.0
BWA,2000,9.84
BWA,2001,9.84
BWA,2002,9.84
BWA,2003,9.84
BWA,2004,9.84
BWA,2005,9.84
BWA,2006,9.84
BWA,2007,9.84
BWA,2008,9.84
BWA,2009,9.84
BWA,2010,9.84
BWA,2011,9.84
BWA,2012,9.84
BWA,2013,9.84
BWA,2014,9.84
BWA,2015,9.84
BWA,2016,9.84
BWA,2017,9.84
BWA,2018,9.84
BWA,2019,9.84
CAF,2000,0.0
CAF,2001,0.0
CAF,2002,0.0
CAF,2003,0.0
CAF,2004,0.0
CAF,2005,0.0
CAF,2006,0.0
CAF,2007,0.0
CAF,2008,0.0
