ISO,Year,GDPC
COG,2000,2618.68140986414
COG,2001,2641.79349604731
COG,2002,2685.67526664178
COG,2003,2630.79951460546
COG,2004,2641.96590281861
COG,2005,2758.61666161496
COG,2006,2881.59510080047
COG,2007,2600.07470455141
COG,2008,2670.77289562093
COG,2009,2885.26708804728
COG,2010,3076.56125334142
COG,2011,3057.77365418817
COG,2012,3275.94935409474
COG,2013,3173.41016563263
COG,2014,3281.32278717546
COG,2015,3097.27612486185
COG,2016,2711.89879143485
COG,2017,2520.6183640463
COG,2018,2303.98260129749
COG,2019,2166.09410080018
COK,2000,0.0
COK,2001,0.0
COK,2002,0.0
COK,2003,0.0
COK,2004,0.0
COK,2005,0.0
COK,2006,0.0
COK,2007,0.0
COK,2008,0.0
COK,2009,0.0
COK,2010,0.0
COK,2011,0.0
COK,2012,0.0
COK,2013,0.0
COK,2014,0.0
COK,2015,0.0
COK,2016,0.0
COK,2017,0.0
COK,2018,0.0
COK,2019,0.0
COL,2000,4862.87605315307
COL,2001,4867.58232017903
COL,2002,4913.85749625519
COL,2003,5031.49227964787
COL,2004,5225.24525341854
COL,2005,5404.12223554869
COL,2006,5693.26452761933
COL,2007,6002.33106969292
COL,2008,6126.92650332141
COL,2009,6128.1955887057
COL,2010,6336.70947398466
COL,2011,6711.66805187466
COL,2012,6911.76119085696
COL,2013,7201.0060866521
COL,2014,7449.32523719407
COL,2015,7580.27571259431
COL,2016,7633.38984323017
COL,2017,7620.91617187225
COL,2018,7694.42733302471
COL,2019,7838.20971410357
COM,2000,1296.05802326538
COM,2001,1294.01022363444
COM,2002,1292.494822686
COM,2003,1288.61454617884
COM,2004,1282.52707114389
COM,2005,1287.86922403356
COM,2006,1290.7300018969
COM,2007,1270.24445650129
COM,2008,1289.67922875261
COM,2009,1299.27458879912
COM,2010,1316.49884810552
COM,2011,1337.73836893032
COM,2012,1347.55168235907
COM,2013,1374.7011391203
COM,2014,1370.51335535565
COM,2015,1353.6634014541
COM,2016,1366.67572123857
COM,2017,1386.92236846489
COM,2018,1402.74035543881
COM,2019,1399.38853793637
CPV,2000,2215.06817019014
CPV,2001,2225.41211002855
CPV,2002,2303.97134518707
CPV,2003,2362.96107339695
CPV,2004,2565.78049968481
CPV,2005,2705.13463478074
CPV,2006,2882.88994648951
CPV,2007,3279.07835675104
CPV,2008,3455.1017668217
CPV,2009,3370.35023611401
CPV,2010,3378.25485950035
CPV,2011,3468.66705505948
CPV,2012,3461.92665130578
CPV,2013,3445.30537729537
CPV,2014,3422.74880170376
CPV,2015,3414.55798421071
CPV,2016,3532.14021000002
CPV,2017,3619.62102216948
CPV,2018,3740.00407706064
CPV,2019,3907.65337200972
CRI,2000,6172.4083609302
CRI,2001,6274.31608567006
CRI,2002,6375.20385160468
CRI,2003,6545.73672073041
CRI,2004,6730.83139416725
