ISO,Year,Item,IRRTECHi
YEM,2017,Sprinkler,0.0007795856584722345
YEM,2017,Surface,0.9981536348948024
ZAF,2017,Drip,0.218562874251497
ZAF,2017,Sprinkler,0.5508982035928144
ZAF,2017,Surface,0.23053892215568864
ZMB,2017,Drip,0.10161045713873042
ZMB,2017,Sprinkler,0.31721672564454395
ZMB,2017,Surface,0.5811728172167256
ZWE,2017,Drip,0.07014672356343304
ZWE,2017,Sprinkler,0.7500146139008154
ZWE,2017,Surface,0.1798386625357515
