ISO,Year,WP
CHL,2002,1.27
CHL,2003,1.27
CHL,2004,1.27
CHL,2005,1.27
CHL,2006,1.27
CHL,2007,1.27
CHL,2008,1.27
CHL,2009,1.27
CHL,2010,1.27
CHL,2011,1.27
CHL,2012,1.27
CHL,2013,1.27
CHL,2014,1.27
CHL,2015,1.27
CHL,2016,1.27
CHL,2017,1.27
CHL,2018,1.27
CHL,2019,1.27
CIV,2000,0.55
CIV,2001,0.55
CIV,2002,0.55
CIV,2003,0.55
CIV,2004,0.55
CIV,2005,0.55
CIV,2006,0.55
CIV,2007,0.55
CIV,2008,0.55
CIV,2009,0.55
CIV,2010,0.55
CIV,2011,0.55
CIV,2012,0.55
CIV,2013,0.55
CIV,2014,0.55
CIV,2015,0.55
CIV,2016,0.55
CIV,2017,0.55
CIV,2018,0.55
CIV,2019,0.55
CMR,2000,0.74
CMR,2001,0.74
CMR,2002,0.74
CMR,2003,0.74
CMR,2004,0.74
CMR,2005,0.74
CMR,2006,0.74
CMR,2007,0.74
CMR,2008,0.74
CMR,2009,0.74
CMR,2010,0.74
CMR,2011,0.74
CMR,2012,0.74
CMR,2013,0.74
CMR,2014,0.74
CMR,2015,0.74
CMR,2016,0.74
CMR,2017,0.74
CMR,2018,0.74
CMR,2019,0.74
COD,2000,0.17
COD,2001,0.17
COD,2002,0.17
COD,2003,0.17
COD,2004,0.17
COD,2005,0.17
COD,2006,0.17
COD,2007,0.17
COD,2008,0.17
COD,2009,0.17
COD,2010,0.17
COD,2011,0.17
COD,2012,0.17
COD,2013,0.17
COD,2014,0.17
COD,2015,0.17
COD,2016,0.17
COD,2017,0.17
COD,2018,0.17
COD,2019,0.17
COG,2000,0.57
COG,2001,0.57
COG,2002,0.57
COG,2003,0.57
COG,2004,0.57
COG,2005,0.57
COG,2006,0.57
COG,2007,0.57
COG,2008,0.57
COG,2009,0.57
COG,2010,0.57
COG,2011,0.57
COG,2012,0.57
COG,2013,0.57
COG,2014,0.57
COG,2015,0.57
COG,2016,0.57
COG,2017,0.57
COG,2018,0.57
COG,2019,0.57
COK,2000,0.0
COK,2001,0.0
COK,2002,0.0
COK,2003,0.0
COK,2004,0.0
COK,2005,0.0
COK,2006,0.0
COK,2007,0.0
COK,2008,0.0
COK,2009,0.0
COK,2010,0.0
COK,2011,0.0
COK,2012,0.0
COK,2013,0.0
COK,2014,0.0
COK,2015,0.0
COK,2016,0.0
COK,2017,0.0
COK,2018,0.0
COK,2019,0.0
COL,2000,0.74
COL,2001,0.74
COL,2002,0.74
COL,2003,0.74
COL,2004,0.74
COL,2005,0.74
COL,2006,0.74
COL,2007,0.74
COL,2008,0.74
COL,2009,0.74
COL,2010,0.74
COL,2011,0.74
COL,2012,0.74
COL,2013,0.74
COL,2014,0.74
COL,2015,0.74
COL,2016,0.74
COL,2017,0.74
COL,2018,0.74
COL,2019,0.74
COM,2000,0.51
COM,2001,0.51
COM,2002,0.51
COM,2003,0.51
COM,2004,0.51
COM,2005,0.51
COM,2006,0.51
COM,2007,0.51
COM,2008,0.51
COM,2009,0.51
COM,2010,0.51
COM,2011,0.51
COM,2012,0.51
COM,2013,0.51
COM,2014,0.51
COM,2015,0.51
COM,2016,0.51
COM,2017,0.51
COM,2018,0.51
COM,2019,0.51
CPV,2000,3.96
CPV,2001,3.96
